title,score,people_num,quote,description,url,pic
肖申克的救赎,9.7,2965370,希望让人自由。,,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,9.6,2191166,风华绝代。,,https://movie.douban.com/subject/1291546/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,9.5,2210091,一部美国近现代史。,,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
泰坦尼克号,9.5,2245797,失去的才是永恒的。 ,,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
这个杀手不太冷,9.4,2341618,怪蜀黍和小萝莉不得不说的故事。,,https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
千与千寻,9.4,2293374,最好的宫崎骏，最好的久石让。 ,,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
美丽人生,9.5,1354571,最美的谎言。,,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
星际穿越,9.4,1902186,爱是一种力量，让我们超越时空感知它的存在。,,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
盗梦空间,9.4,2113242,诺兰给了我们一场无法盗取的梦。,,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
辛德勒的名单,9.5,1144222,拯救一个人，就是拯救整个世界。,,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
楚门的世界,9.4,1762833,如果再也不能见到你，祝你早安，午安，晚安。,,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
忠犬八公的故事,9.4,1424280,永远都不能忘记你所爱的人。,,https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
海上钢琴师,9.3,1712223,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
三傻大闹宝莱坞,9.2,1897214,英俊版憨豆，高情商版谢耳朵。,,https://movie.douban.com/subject/3793023/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
放牛班的春天,9.3,1341952,天籁一般的童声，是最接近上帝的存在。 ,,https://movie.douban.com/subject/1291549/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884280708.jpg
机器人总动员,9.3,1345836,小瓦力，大人生。,,https://movie.douban.com/subject/2131459/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
疯狂动物城,9.2,1994912,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
无间道,9.3,1400057,香港电影史上永不过时的杰作。,,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
控方证人,9.6,587344,比利·怀德满分作品。,,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
大话西游之大圣娶亲,9.2,1565505,一生所爱。,,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,9.4,951272,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
教父,9.3,992166,千万不要记恨你的对手，这样会让你失去理智。,,https://movie.douban.com/subject/1291841/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
触不可及,9.3,1148576,满满温情的高雅喜剧。,,https://movie.douban.com/subject/6786002/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
当幸福来敲门,9.2,1551594,平民励志片。 ,,https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg
寻梦环游记,9.1,1732440,死亡不是真的逝去，遗忘才是永恒的消亡。,,https://movie.douban.com/subject/20495023/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461812747.jpg
末代皇帝,9.3,911726,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,,https://movie.douban.com/subject/1293172/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
龙猫,9.2,1293135,人人心中都有个龙猫，童年就永远不会消失。,,https://movie.douban.com/subject/1291560/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
怦然心动,9.1,1873539,真正的幸福是来自内心深处。,,https://movie.douban.com/subject/3319755/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
活着,9.3,869382,张艺谋最好的电影。,,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2597919477.jpg
哈利·波特与魔法石,9.2,1228626,童话世界的开端。,,https://movie.douban.com/subject/1295038/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg
蝙蝠侠：黑暗骑士,9.2,1087156,无尽的黑暗。,,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
指环王3：王者无敌,9.3,823035,史诗的终章。,,https://movie.douban.com/subject/1291552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
我不是药神,9.0,2150477,对我们国家而言，这样的电影多一部是一部。,,https://movie.douban.com/subject/26752088/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
乱世佳人,9.3,708257,Tomorrow is another day.,,https://movie.douban.com/subject/1300267/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
飞屋环游记,9.1,1357986,最后那些最无聊的事情，才是最值得怀念的。 ,,https://movie.douban.com/subject/2129039/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg
素媛,9.3,703790,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,,https://movie.douban.com/subject/21937452/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
十二怒汉,9.4,506271,1957年的理想主义。 ,,https://movie.douban.com/subject/1293182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
哈尔的移动城堡,9.1,1053165,带着心爱的人在天空飞翔。,,https://movie.douban.com/subject/1308807/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
何以为家,9.1,1068167,凝视卑弱生命，用电影改变命运。,,https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
让子弹飞,9.0,1739118,你给我翻译翻译，神马叫做TMD的惊喜。,,https://movie.douban.com/subject/3742360/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
摔跤吧！爸爸,9.0,1600863,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,,https://movie.douban.com/subject/26387939/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
猫鼠游戏,9.1,1059197,骗子大师和执著警探的你追我跑故事。 ,,https://movie.douban.com/subject/1305487/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
天空之城,9.2,899950,对天空的追逐，永不停止。 ,,https://movie.douban.com/subject/1291583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg
鬼子来了,9.3,642117,对敌人的仁慈，就是对自己残忍。,,https://movie.douban.com/subject/1291858/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
海蒂和爷爷,9.3,644186,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,,https://movie.douban.com/subject/25958717/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
少年派的奇幻漂流,9.1,1375648,瑰丽壮观、无人能及的冒险之旅。,,https://movie.douban.com/subject/1929463/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
钢琴家,9.3,660665,音乐能化解仇恨。,,https://movie.douban.com/subject/1296736/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg
大话西游之月光宝盒,9.0,1246454,旷古烁今。,,https://movie.douban.com/subject/1299398/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
指环王2：双塔奇兵,9.2,772340,承前启后的史诗篇章。,,https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
闻香识女人,9.1,911562,史上最美的探戈。,,https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
死亡诗社,9.2,751017,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,,https://movie.douban.com/subject/1291548/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
绿皮书,8.9,1691996,去除成见，需要勇气。,,https://movie.douban.com/subject/27060077/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg
罗马假日,9.1,968776,爱情哪怕只有一天。,,https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
大闹天宫,9.4,450985,经典之作，历久弥新。,,https://movie.douban.com/subject/1418019/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
天堂电影院,9.2,690838,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,,https://movie.douban.com/subject/1291828/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
指环王1：护戒使者,9.1,867636,传说的开始。,,https://movie.douban.com/subject/1291571/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg
黑客帝国,9.1,856639,视觉革命。,,https://movie.douban.com/subject/1291843/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
教父2,9.3,567656,优雅的孤独。,,https://movie.douban.com/subject/1299131/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
狮子王,9.1,865187,动物版《哈姆雷特》。,,https://movie.douban.com/subject/1301753/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg
辩护人,9.2,600677,电影的现实意义大过电影本身。,,https://movie.douban.com/subject/21937445/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
饮食男女,9.2,637579,人生不能像做菜，把所有的料都准备好了才下锅。,,https://movie.douban.com/subject/1291818/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
搏击俱乐部,9.0,866621,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,,https://movie.douban.com/subject/1292000/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg
本杰明·巴顿奇事,9.0,1006539,在时间之河里感受溺水之苦。,,https://movie.douban.com/subject/1485260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
美丽心灵,9.1,785769,爱是一切逻辑和原由。,,https://movie.douban.com/subject/1306029/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
穿条纹睡衣的男孩,9.2,580845,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,,https://movie.douban.com/subject/3008247/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
窃听风暴,9.2,577193,别样人生。,,https://movie.douban.com/subject/1900841/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
情书,8.9,1145555,暗恋的极致。,,https://movie.douban.com/subject/1292220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
两杆大烟枪,9.1,607693,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,,https://movie.douban.com/subject/1293350/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
西西里的美丽传说,8.9,997318,美丽无罪。,,https://movie.douban.com/subject/1292402/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
音乐之声,9.1,617229,用音乐化解仇恨，让歌声串起美好。,,https://movie.douban.com/subject/1294408/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
看不见的客人,8.8,1302959,你以为你以为的就是你以为的。,,https://movie.douban.com/subject/26580232/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
阿凡达,8.8,1451356,绝对意义上的美轮美奂。,,https://movie.douban.com/subject/1652587/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
哈利·波特与死亡圣器(下),9.0,855025,10年的完美句点。,,https://movie.douban.com/subject/3011235/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
拯救大兵瑞恩,9.1,661470,美利坚精神输出大片No1.,,https://movie.douban.com/subject/1292849/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
飞越疯人院,9.1,557782,自由万岁。,,https://movie.douban.com/subject/1292224/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
小鞋子,9.2,420642,奔跑的孩子是天使。,,https://movie.douban.com/subject/1303021/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
沉默的羔羊,8.9,912682,安东尼·霍普金斯的顶级表演。,,https://movie.douban.com/subject/1293544/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
布达佩斯大饭店,8.9,966108,小清新的故事里注入了大历史的情怀。,,https://movie.douban.com/subject/11525673/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg
功夫,8.8,1169141,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,,https://movie.douban.com/subject/1291543/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
禁闭岛,8.9,1003031,昔日翩翩少年，今日大腹便便。,,https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg
蝴蝶效应,8.9,960717,人的命运被自己瞬间的抉择改变。,,https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
致命魔术,8.9,880815,孪生蝙蝠侠大战克隆金刚狼。,,https://movie.douban.com/subject/1780330/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
哈利·波特与阿兹卡班的囚徒,8.9,756357,不一样的导演，不一样的哈利·波特。,,https://movie.douban.com/subject/1291544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg
心灵捕手,8.9,733521,人生中应该拥有这样的一段豁然开朗。,,https://movie.douban.com/subject/1292656/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
超脱,9.0,623870,穷尽一生，我们要学会的，不过是彼此拥抱。,,https://movie.douban.com/subject/5322596/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
低俗小说,8.9,855459,故事的高级讲法。,,https://movie.douban.com/subject/1291832/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
海豚湾,9.3,362249,海豚的微笑，是世界上最高明的伪装。,,https://movie.douban.com/subject/3442220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
摩登时代,9.3,309763,大时代中的人生，小人物的悲喜。,,https://movie.douban.com/subject/1294371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
春光乍泄,9.0,646664,爱情纠缠，男女一致。,,https://movie.douban.com/subject/1292679/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
美国往事,9.2,421858,往事如烟，无处祭奠。,,https://movie.douban.com/subject/1292262/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
喜剧之王,8.8,992128,我是一个演员。,,https://movie.douban.com/subject/1302425/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
致命ID,8.9,847537,最不可能的那个人永远是最可能的。,,https://movie.douban.com/subject/1297192/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
杀人回忆,8.9,736816,关于连环杀人悬案的集体回忆。,,https://movie.douban.com/subject/1300299/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg
七宗罪,8.8,962225,警察抓小偷，老鼠玩死猫。,,https://movie.douban.com/subject/1292223/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
红辣椒,9.1,482339,梦的勾结。,,https://movie.douban.com/subject/1865703/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg
加勒比海盗,8.8,879946,约翰尼·德普的独角戏。,,https://movie.douban.com/subject/1298070/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
哈利·波特与密室,8.9,783411,魔法的密室之门已打开...,,https://movie.douban.com/subject/1296996/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
一一,9.1,409561,我们都曾经是一一。,,https://movie.douban.com/subject/1292434/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
狩猎,9.1,404002,人言可畏。,,https://movie.douban.com/subject/6985810/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
唐伯虎点秋香,8.7,1106268,华太师是黄霑，吴镇宇四大才子之一。,,https://movie.douban.com/subject/1306249/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
7号房的礼物,8.9,569996,《我是山姆》的《美丽人生》。,,https://movie.douban.com/subject/10777687/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
被嫌弃的松子的一生,8.9,716625,以戏谑来戏谑戏谑。,,https://movie.douban.com/subject/1787291/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
蝙蝠侠：黑暗骑士崛起,8.9,740269,诺兰就是保证。,,https://movie.douban.com/subject/3395373/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
请以你的名字呼唤我,8.8,740109,沉醉在电影的情感和视听氛围中无法自拔。,,https://movie.douban.com/subject/26799731/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
爱在黎明破晓前,8.8,703573,缘分是个连绵词，最美不过一瞬。,,https://movie.douban.com/subject/1296339/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
剪刀手爱德华,8.7,1052706,浪漫忧郁的成人童话。,,https://movie.douban.com/subject/1292370/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
断背山,8.8,719813,每个人心中都有一座断背山。,,https://movie.douban.com/subject/1418834/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg
入殓师,8.9,682494,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,,https://movie.douban.com/subject/2149806/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.jpg
第六感,8.9,569962,深入内心的恐怖，出人意料的结局。,,https://movie.douban.com/subject/1297630/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
重庆森林,8.8,831233,寂寞没有期限。,,https://movie.douban.com/subject/1291999/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
勇敢的心,8.9,566989,史诗大片的典范。,,https://movie.douban.com/subject/1294639/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
超能陆战队,8.7,1039490,Balalala~~~,,https://movie.douban.com/subject/11026735/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.jpg
甜蜜蜜,8.9,574696,相逢只要一瞬间，等待却像是一辈子。,,https://movie.douban.com/subject/1305164/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
幽灵公主,8.9,536007,人与自然的战争史诗。,,https://movie.douban.com/subject/1297359/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg
爱在日落黄昏时,8.9,578183,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,,https://movie.douban.com/subject/1291990/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
菊次郎的夏天,8.9,609583,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,,https://movie.douban.com/subject/1293359/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
借东西的小人阿莉埃蒂,8.9,567280,曾经的那段美好会沉淀为一辈子的记忆。,,https://movie.douban.com/subject/4202302/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
寄生虫,8.8,1402452,,,https://movie.douban.com/subject/27010768/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg
消失的爱人,8.7,978908,年度最佳date movie。,,https://movie.douban.com/subject/21318488/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
阳光灿烂的日子,8.8,627552,一场华丽的意淫。,,https://movie.douban.com/subject/1291875/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
天使爱美丽,8.7,966458,法式小清新。 ,,https://movie.douban.com/subject/1292215/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
